Subject,Is_Calming_Music,Trial_Number,Difficulty,Letter_Ascii,Response_Time,Correct_Response,Actual_Response,Answered_Correctly
3,1,6,1,80,284,0,0,1
3,1,6,1,80,200,0,0,1
3,1,6,1,85,245,1,1,1
3,1,6,1,90,195,1,1,1
3,1,6,1,85,457,1,1,1
3,1,6,1,77,712,1,1,1
3,1,6,1,77,287,0,0,1
3,1,6,1,87,130,1,1,1
3,1,6,1,73,311,1,1,1
3,1,6,1,70,510,1,1,1
3,1,6,1,77,562,1,1,1
3,1,6,1,65,157,1,1,1
3,1,6,1,71,285,1,1,1
3,1,6,1,71,654,0,1,0
3,1,6,1,82,768,1,1,1
3,1,6,1,81,210,1,1,1
3,1,6,1,82,335,0,1,0
3,1,6,1,81,358,1,0,0
3,1,7,1,82,80,1,1,1
3,1,7,1,86,283,1,1,1
3,1,7,1,86,230,0,0,1
3,1,7,1,79,204,1,1,1
3,1,7,1,65,159,1,1,1
3,1,7,1,67,204,1,1,1
3,1,7,1,78,221,1,1,1
3,1,7,1,89,47,1,1,1
3,1,7,1,86,326,1,1,1
3,1,7,1,86,3,0,0,1
3,1,7,1,74,688,1,1,1
3,1,7,1,85,221,1,1,1
3,1,7,1,85,71,0,0,1
3,1,7,1,89,50,1,1,1
3,1,7,1,89,660,0,1,0
3,1,7,1,74,325,1,1,1
3,1,7,1,73,403,1,1,1
3,1,7,1,83,313,1,1,1
3,1,7,1,85,247,1,0,0
3,1,7,1,80,75,1,1,1
3,1,8,3,65,460,0,0,1
3,1,8,3,78,637,1,1,1
3,1,8,3,87,1036,1,1,1
3,1,8,3,67,769,1,1,1
3,1,8,3,76,497,1,0,0
3,1,8,3,87,716,0,0,1
3,1,8,3,85,457,1,1,1
3,1,8,3,83,686,1,1,1
3,1,8,3,87,403,0,0,1
3,1,8,3,89,430,1,1,1
3,1,8,3,70,1003,1,1,1
3,1,8,3,76,433,1,0,0
3,1,8,3,89,420,0,1,0
3,1,8,3,85,541,1,1,1
3,1,8,3,76,470,1,0,0
3,1,8,3,73,326,1,1,1
3,1,8,3,66,521,1,1,1
3,1,8,3,84,597,1,1,1
3,1,10,3,74,212,1,1,1
3,1,10,3,90,493,1,1,1
3,1,10,3,81,611,1,1,1
3,1,10,3,87,422,1,1,1
3,1,10,3,75,232,1,1,1
3,1,10,3,81,587,1,1,1
3,1,10,3,83,360,1,0,0
3,1,10,3,77,458,1,1,1
3,1,10,3,81,816,1,1,1
3,1,10,3,83,1067,0,1,0
3,1,10,3,70,824,0,1,0
3,1,10,3,81,196,0,0,1
3,1,10,3,88,823,1,1,1
3,1,10,3,70,1068,0,0,1
3,1,10,3,75,817,1,1,1
3,1,10,3,88,1186,1,0,0
3,1,10,3,75,539,1,0,0
3,1,10,3,82,727,1,1,1
3,1,10,3,88,840,0,1,0
3,1,11,1,66,2,0,0,1
3,1,11,1,86,166,1,1,1
3,1,11,1,80,285,1,1,1
3,1,11,1,80,57,0,0,1
3,1,11,1,81,625,1,1,1
3,1,11,1,69,250,1,1,1
3,1,11,1,69,229,0,0,1
3,1,11,1,77,304,1,1,1
3,1,11,1,77,1034,0,1,0
3,1,11,1,77,238,0,0,1
3,1,11,1,84,806,1,0,0
3,1,11,1,69,643,1,1,1
3,1,11,1,82,526,1,1,1
3,1,11,1,88,556,1,1,1
3,1,11,1,69,423,1,1,1
3,1,11,1,76,232,1,1,1
3,1,11,1,66,174,1,1,1
3,1,11,1,82,328,1,1,1
3,1,11,1,87,314,1,1,1
3,1,11,1,87,213,0,0,1
3,1,11,1,73,62,1,1,1
3,1,12,1,84,207,1,1,1
3,1,12,1,72,460,1,1,1
3,1,12,1,72,734,0,0,1
3,1,12,1,89,203,1,1,1
3,1,12,1,71,232,1,1,1
3,1,12,1,71,331,0,0,1
3,1,12,1,71,116,0,0,1
3,1,12,1,89,17,1,1,1
3,1,12,1,87,200,1,1,1
3,1,12,1,87,203,0,0,1
3,1,12,1,85,704,1,1,1
3,1,12,1,65,376,1,1,1
3,1,12,1,85,656,1,0,0
3,1,12,1,82,295,1,1,1
3,1,12,1,87,315,1,1,1
3,1,12,1,80,230,1,1,1
3,1,12,1,81,186,1,1,1
3,1,12,1,67,122,1,1,1
3,1,12,1,65,378,1,1,1
3,1,12,1,65,48,0,0,1
3,1,12,1,76,135,1,1,1
3,1,13,3,74,376,1,1,1
3,1,13,3,86,269,1,1,1
3,1,13,3,78,232,1,1,1
3,1,13,3,74,461,1,0,0
3,1,13,3,86,375,0,1,0
3,1,13,3,78,1002,0,1,0
3,1,13,3,85,506,1,0,0
3,1,13,3,86,787,0,1,0
3,1,13,3,69,808,1,1,1
3,1,13,3,68,927,1,1,1
3,1,13,3,88,853,1,1,1
3,1,13,3,81,621,1,1,1
3,1,13,3,79,520,1,1,1
